matchNumber,matchKey,blue1,blue2,blue3,red1,red2,red3,blueScore,redScore,post_result_time,predicted_time,blueAdjustPoints,blueAutoOwnership,blueAutoPts,blueAutoRanking,blueAutoBot1,blueAutoBot2,blueAutoBot3,blueAutoRunPoints,blueAutoScaleOwnershipSec,blueAutoSwitchAtZero,blueAutoSwitchOwnershipSpec,blueEndGamePoints,blueEndGameBot1,blueEndGameBot2,blueEndGameBot3,blueEndGameRP,blueFoulCount,blueFoulPts,blueRP,tbaGameData,blueTechFoulCount,blueTOownership,blueTOpts,blueScaleBoost,blueScaleForce,blueTOscaleOwnershipSec,blueTOswitchBoost,blueTOswitchForce,blueTOswitchOwnershipSec,blueBoostPlayed,blueBoostTotal,blueForcePlayed,blueForceTotal,blueLevitatePlayed,blueLevitateTotal,blueVaultPts,redAdjustPoints,redAutoOwnership,redAutoPts,redAutoRanking,redAutoBot1,redAutoBot2,redAutoBot3,redAutoRunPoints,redAutoScaleOwnershipSec,redAutoSwitchAtZero,redAutoSwitchOwnershipSpec,redEndGamePoints,redEndGameBot1,redEndGameBot2,redEndGameBot3,redEndGameRP,redFoulCount,redFoulPts,redRP,tbaGameData,redTechFoulCount,redTOownership,redTOpts,redScaleBoost,redScaleForce,redTOscaleOwnershipSec,redTOswitchBoost,redTOswitchForce,redTOswitchOwnershipSec,redBoostPlayed,redBoostTotal,redForcePlayed,redForceTotal,redLevitatePlayed,redLevitateTotal,redVaultPts
1,2018cthar_qm1,6346,5142,177,3464,5129,2067,215,365,1523113669,1523113441,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Parking,Levitate,False,0,0,1,LLL,0,115,180,0,0,1,0,0,114,2,2,0,0,3,3,25,0,22,37,True,AutoRun,AutoRun,AutoRun,15,7,True,4,60,Levitate,None,Climbing,False,0,0,3,LLL,0,248,328,0,0,129,0,0,119,0,1,0,0,3,3,20
10,2018cthar_qm10,195,236,176,4987,7153,6333,454,30,1523118194,1523118001,0,42,57,True,AutoRun,AutoRun,AutoRun,15,10,True,11,35,Parking,Levitate,None,False,1,25,3,LRL,0,292,372,10,10,136,10,10,136,3,3,3,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,10,Parking,Parking,None,False,0,5,0,LRL,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018cthar_qm11,155,1085,190,5142,839,2785,394,260,1523118760,1523118601,0,36,51,True,AutoRun,AutoRun,AutoRun,15,7,True,11,35,None,Parking,Levitate,False,3,30,3,RRR,0,263,313,0,0,127,0,0,136,0,0,0,0,3,3,15,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,60,None,Climbing,Levitate,False,1,15,0,RRR,1,135,230,0,10,11,10,10,114,1,1,3,3,3,3,35
12,2018cthar_qm12,571,6895,3634,175,1991,5686,50,430,1523119086,1523118962,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,Climbing,Parking,None,False,4,0,0,LLL,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,5,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,0,20,3,LLL,0,267,377,10,10,121,0,10,136,2,3,3,3,3,3,45
13,2018cthar_qm13,7127,173,3654,6346,6812,1973,395,213,1523119527,1523119327,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Levitate,Parking,Parking,False,0,0,3,LRL,0,283,368,10,10,127,10,10,136,3,3,3,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,40,Parking,Parking,Levitate,False,0,0,0,LRL,0,133,198,0,0,1,0,0,132,0,0,2,2,3,3,25
14,2018cthar_qm14,2170,230,177,558,2836,6811,484,171,1523120014,1523119802,0,26,41,True,AutoRun,AutoRun,AutoRun,15,2,True,11,90,Levitate,Climbing,Climbing,True,2,30,4,LRL,0,283,413,10,10,127,10,0,136,3,3,2,2,3,3,40,0,6,11,False,None,AutoRun,None,5,3,False,0,65,Parking,Climbing,Levitate,False,1,10,0,LRL,1,40,150,0,10,11,0,10,29,3,3,3,3,3,3,45
15,2018cthar_qm15,2067,236,5746,5686,3634,176,232,419,1523120456,1523120181,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Parking,Levitate,False,1,0,1,RRR,0,132,197,0,0,0,0,10,132,0,0,1,2,3,3,25,0,24,39,True,AutoRun,AutoRun,AutoRun,15,1,True,11,65,Levitate,Parking,Climbing,False,0,5,3,RRR,0,270,375,10,10,126,10,0,124,3,3,2,2,3,3,40
16,2018cthar_qm16,571,7153,999,3654,5142,2064,344,155,1523120851,1523120642,0,14,24,False,AutoRun,AutoRun,None,10,7,False,0,60,Climbing,Levitate,None,False,1,0,2,RRR,1,225,320,5,0,82,10,0,128,3,3,0,1,3,3,35,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,Levitate,Parking,None,False,0,30,0,RRR,0,45,115,0,10,15,0,10,30,0,1,3,3,3,3,35
17,2018cthar_qm17,177,558,839,155,3182,4987,513,284,1523121300,1523121122,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,90,Climbing,Levitate,Climbing,True,1,80,4,RLR,0,263,398,10,10,110,10,10,133,3,3,3,3,3,3,45,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,1,5,1,RLR,3,157,242,0,10,11,10,10,136,3,3,3,3,3,3,45
18,2018cthar_qm18,3146,3464,6895,2785,195,1085,282,421,1523124670,1523124426,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,65,Climbing,Parking,Levitate,False,1,15,1,RRR,0,146,236,0,10,11,0,0,135,0,0,2,2,3,3,25,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,90,Climbing,Climbing,Levitate,True,3,5,4,RRR,0,268,393,10,0,112,10,0,136,3,3,0,1,3,3,35
19,2018cthar_qm19,181,1991,6333,173,1740,2836,279,357,1523125080,1523124903,0,16,31,False,AutoRun,AutoRun,AutoRun,15,8,False,0,65,Climbing,Parking,Levitate,False,1,10,0,RRR,0,148,238,0,2,17,0,0,131,0,0,2,2,3,3,25,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,40,Levitate,Parking,Parking,False,2,5,3,RRR,0,253,323,9,0,101,10,0,133,3,3,0,0,3,3,30
2,2018cthar_qm2,558,999,2064,1740,1085,236,285,246,1523114322,1523114223,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Climbing,Parking,Levitate,False,0,5,3,LLL,0,145,245,0,8,9,0,8,136,0,1,3,3,3,3,35,0,22,27,False,None,None,AutoRun,5,8,True,3,65,Parking,Levitate,Climbing,False,1,0,0,LLL,0,139,219,0,0,122,0,0,17,0,0,0,0,3,3,15
20,2018cthar_qm20,190,1027,2170,5129,6346,7127,367,228,1523125610,1523125502,0,22,32,False,AutoRun,None,AutoRun,10,0,True,11,30,None,Levitate,None,False,2,15,2,RLR,0,255,320,10,0,99,10,0,136,3,3,0,1,3,3,35,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Parking,Parking,Levitate,False,3,10,1,RLR,0,120,185,0,10,11,0,0,109,0,0,2,2,3,3,25
21,2018cthar_qm21,1973,6811,2785,6812,175,2064,188,416,1523126043,1523125863,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,10,None,Parking,Parking,False,0,130,0,RRR,0,23,43,0,0,0,0,0,23,0,0,0,0,0,2,10,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Levitate,Climbing,Parking,False,21,0,3,RRR,1,273,383,10,10,117,10,10,136,3,3,3,3,3,3,45
22,2018cthar_qm22,2836,839,1085,230,3634,181,217,339,1523126466,1523126402,0,8,23,False,AutoRun,AutoRun,AutoRun,15,4,False,0,40,Parking,Parking,Levitate,False,0,5,0,RLR,0,134,189,0,0,6,0,0,128,0,0,0,0,3,3,15,0,18,33,True,AutoRun,AutoRun,AutoRun,15,1,True,8,65,Climbing,Levitate,Parking,False,1,0,3,RLR,0,206,306,0,0,60,10,0,136,3,3,0,1,3,3,35
23,2018cthar_qm23,5142,571,195,1027,3182,7127,431,56,1523126984,1523126891,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,30,None,Levitate,None,False,0,50,3,LLL,0,279,344,10,0,123,10,0,136,3,3,0,1,3,3,35,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,10,None,Parking,Parking,False,0,0,0,LLL,2,36,46,0,0,0,0,0,36,0,0,0,0,0,0,0
24,2018cthar_qm24,236,4987,175,190,5129,6812,362,185,1523127530,1523127362,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,1,30,3,LLL,0,214,299,0,0,112,0,0,102,0,1,0,0,3,3,20,0,8,18,False,AutoRun,AutoRun,None,10,4,False,0,35,None,Parking,Levitate,False,1,5,0,LLL,1,107,162,0,0,21,0,0,86,0,1,0,0,3,3,20
25,2018cthar_qm25,1740,176,6346,5746,155,3146,433,234,1523127987,1523127842,0,22,32,False,AutoRun,AutoRun,None,10,0,True,11,90,Climbing,Climbing,Levitate,True,1,25,3,LRL,2,261,376,0,0,115,10,0,136,1,2,0,0,3,3,25,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,10,None,Parking,Parking,False,0,55,1,LRL,1,113,148,0,10,11,10,10,92,1,1,3,3,0,1,25
26,2018cthar_qm26,3654,7153,3464,1991,173,558,306,382,1523128432,1523128321,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,65,Parking,Levitate,Climbing,False,0,25,1,LRL,0,148,258,0,10,11,1,10,136,3,3,3,3,3,3,45,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,60,None,Levitate,Climbing,False,0,0,3,LRL,1,242,347,0,10,106,0,10,136,0,3,3,3,3,3,45
27,2018cthar_qm27,5686,2067,177,999,6333,2170,429,238,1523128839,1523128677,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,65,Levitate,Parking,Climbing,False,0,55,3,LLL,0,248,343,10,0,127,0,0,111,2,3,0,0,3,3,30,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Parking,Levitate,False,1,0,1,LLL,2,136,201,0,0,0,10,0,126,1,1,0,1,3,3,25
28,2018cthar_qm28,1973,4987,1027,3182,6811,6895,110,199,1523129327,1523129222,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,60,Levitate,Climbing,None,False,0,25,0,RRR,0,0,75,0,0,0,0,0,0,0,0,0,0,3,3,15,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,40,Parking,Parking,Levitate,False,0,0,2,RRR,1,129,184,0,0,0,0,0,129,0,0,0,0,3,3,15
29,2018cthar_qm29,3464,181,2785,558,5746,3634,245,426,1523129721,1523129529,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,65,Climbing,Parking,Levitate,False,0,0,1,LLL,1,136,216,0,0,0,0,0,136,0,0,0,0,3,3,15,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Climbing,Levitate,Parking,False,0,25,3,LLL,0,266,366,10,0,110,10,0,136,3,3,1,1,3,3,35
3,2018cthar_qm3,6812,181,6895,190,6811,7153,295,230,1523114789,1523114642,0,14,24,False,None,AutoRun,AutoRun,10,0,True,7,65,Levitate,Climbing,Parking,False,2,5,2,RLR,0,186,266,0,0,50,0,0,136,0,0,0,0,3,3,15,0,8,23,False,AutoRun,AutoRun,AutoRun,15,4,False,0,0,None,None,None,False,1,10,0,RLR,0,192,197,0,0,80,10,0,102,1,1,0,0,0,0,5
30,2018cthar_qm30,230,5142,5686,6812,177,1740,287,346,1523130153,1523130002,0,20,35,True,AutoRun,AutoRun,AutoRun,15,2,True,8,35,Climbing,Parking,None,False,2,5,1,LRL,0,187,247,0,0,41,10,0,136,3,3,0,0,0,2,25,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Levitate,Parking,Climbing,False,1,10,3,LRL,0,221,301,0,0,85,0,0,136,0,0,0,0,3,3,15
31,2018cthar_qm31,236,2170,155,1085,175,3654,554,317,1523130577,1523130422,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,0,285,3,RLR,0,157,232,0,10,11,10,0,136,1,2,2,2,3,3,35,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Levitate,Parking,Parking,False,2,0,1,RLR,11,229,284,0,0,114,0,0,115,0,0,0,0,3,3,15
32,2018cthar_qm32,190,1991,999,6333,3146,1973,393,142,1523131032,1523130842,0,4,19,False,AutoRun,AutoRun,AutoRun,15,2,False,0,40,Levitate,Parking,Parking,False,0,25,2,LLL,0,264,349,10,4,116,10,4,128,3,3,3,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,35,None,Parking,Levitate,False,0,0,0,LLL,1,57,127,0,10,11,0,10,46,1,1,3,3,3,3,35
33,2018cthar_qm33,7153,2836,195,6346,2067,571,420,196,1523131482,1523131322,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,90,Climbing,Levitate,Climbing,True,1,0,4,LRL,1,258,383,10,0,102,10,0,136,3,3,0,1,3,3,35,0,38,53,True,AutoRun,AutoRun,AutoRun,15,8,True,11,40,Parking,Climbing,Parking,False,0,30,1,LRL,0,63,113,0,0,28,0,0,35,0,0,0,0,0,2,10
34,2018cthar_qm34,6895,173,5129,2064,839,176,210,383,1523131913,1523131741,0,12,22,False,AutoRun,AutoRun,None,10,0,True,6,30,None,None,Climbing,False,2,5,0,LLL,1,143,183,0,0,21,0,0,122,0,0,0,0,0,2,10,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,1,35,3,LLL,0,226,311,2,10,78,10,10,136,3,3,3,3,3,3,45
35,2018cthar_qm35,1740,558,3182,7127,6333,175,353,289,1523132356,1523132222,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,90,Climbing,Climbing,Levitate,True,3,0,4,LRL,0,198,318,0,10,52,10,0,136,1,1,2,2,3,3,30,0,18,28,False,None,AutoRun,AutoRun,10,0,True,9,35,None,Levitate,Parking,False,0,15,0,LRL,0,191,246,0,0,55,0,2,136,0,0,1,1,3,3,20
36,2018cthar_qm36,5686,3464,6346,571,6812,2785,318,205,1523132812,1523132642,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,60,None,Climbing,Levitate,False,0,25,3,LLL,2,157,262,0,10,11,10,10,136,3,3,3,3,3,3,45,0,0,10,False,AutoRun,None,AutoRun,10,0,False,0,10,Parking,Parking,None,False,0,50,0,LLL,1,125,145,0,0,112,0,0,13,0,0,0,0,0,2,10
37,2018cthar_qm37,7153,1991,839,3146,2064,195,264,481,1523133198,1523133121,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Levitate,Parking,Climbing,False,1,5,1,RLR,1,142,227,0,0,1,5,0,136,1,1,0,0,3,3,20,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,90,Climbing,Levitate,Climbing,True,1,30,4,RLR,0,279,414,10,10,123,10,10,136,3,3,3,3,3,3,45
38,2018cthar_qm38,173,999,6811,1027,5746,3654,342,90,1523133592,1523133436,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Parking,Levitate,Parking,False,1,0,3,LLL,0,230,315,3,0,84,7,0,136,3,3,0,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,10,None,Parking,Parking,False,0,5,0,LLL,0,40,70,0,10,21,0,10,19,0,1,3,3,0,0,20
39,2018cthar_qm39,2067,230,155,6895,7127,236,475,278,1523134546,1523134442,0,18,33,False,AutoRun,AutoRun,AutoRun,15,9,False,0,90,Levitate,Climbing,Climbing,True,0,85,3,LLL,0,222,357,10,10,127,10,10,75,3,3,3,3,3,3,45,0,6,16,False,AutoRun,AutoRun,None,10,0,True,3,90,Climbing,Levitate,Climbing,True,7,0,1,LLL,2,147,262,0,10,11,0,0,136,0,0,2,2,3,3,25
4,2018cthar_qm4,3182,3146,3634,155,176,173,159,463,1523115258,1523115073,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,65,Parking,Climbing,Levitate,False,1,0,0,LLL,2,49,144,0,10,11,0,10,38,0,0,3,3,3,3,30,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,65,Climbing,Parking,Levitate,False,0,55,3,LLL,0,274,379,10,0,118,10,0,136,3,3,0,2,3,3,40
40,2018cthar_qm40,1085,176,177,2170,181,1973,403,356,1523134973,1523134862,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,60,Levitate,None,Climbing,False,0,40,3,LRL,1,240,330,3,0,91,10,0,136,3,3,0,0,3,3,30,0,26,41,True,AutoRun,AutoRun,AutoRun,15,2,True,11,65,Levitate,Climbing,Parking,False,3,25,1,LRL,1,185,290,10,10,29,10,0,136,3,3,2,2,3,3,40
41,2018cthar_qm41,2836,3634,5129,5142,4987,190,246,349,1523135392,1523135281,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Parking,Parking,Levitate,False,1,0,1,LRL,0,143,213,0,0,0,7,0,136,3,3,0,0,3,3,30,0,2,17,False,AutoRun,AutoRun,AutoRun,15,1,False,0,40,Parking,Parking,Levitate,False,0,5,2,LRL,0,257,327,10,0,124,10,0,113,3,3,0,0,3,3,30
42,2018cthar_qm42,6811,6333,2067,195,5686,839,204,429,1523135742,1523135582,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Parking,Levitate,Climbing,False,0,0,1,LLL,1,79,169,0,0,0,0,10,79,0,1,1,1,3,3,25,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Levitate,Parking,Parking,False,0,25,3,LLL,0,282,367,10,10,126,10,10,136,3,3,3,3,3,3,45
43,2018cthar_qm43,1991,155,3654,5746,177,181,252,409,1523136206,1523136063,0,32,47,True,AutoRun,AutoRun,AutoRun,15,5,True,11,65,Levitate,Climbing,Parking,False,1,30,1,RRR,0,65,175,0,10,21,0,10,44,3,3,3,3,3,3,45,0,2,17,False,AutoRun,AutoRun,AutoRun,15,1,False,0,90,Levitate,Climbing,Climbing,True,1,5,3,RRR,1,252,387,10,10,112,10,10,120,3,3,3,3,3,3,45
44,2018cthar_qm44,2170,175,5129,4987,1085,173,336,213,1523136575,1523136398,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Parking,Climbing,Levitate,False,1,0,3,LLL,0,189,299,4,10,39,10,10,136,3,3,3,3,3,3,45,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,10,Parking,None,Parking,False,0,5,1,LLL,0,166,181,0,0,50,0,0,116,0,0,0,0,0,1,5
45,2018cthar_qm45,1027,5142,176,230,2785,999,213,496,1523137122,1523137024,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,35,Parking,None,Levitate,False,0,50,1,RLR,3,66,126,0,10,11,0,0,55,0,0,2,2,3,3,25,0,18,33,False,AutoRun,AutoRun,AutoRun,15,9,False,0,65,Climbing,Parking,Levitate,False,0,75,2,RLR,2,283,388,10,5,127,10,0,136,3,3,2,2,3,3,40
