matchNumber,matchKey,blue1,blue2,blue3,red1,red2,red3,blueScore,redScore,post_result_time,predicted_time,blueAdjustPoints,blueAutoOwnership,blueAutoPts,blueAutoRanking,blueAutoBot1,blueAutoBot2,blueAutoBot3,blueAutoRunPoints,blueAutoScaleOwnershipSec,blueAutoSwitchAtZero,blueAutoSwitchOwnershipSpec,blueEndGamePoints,blueEndGameBot1,blueEndGameBot2,blueEndGameBot3,blueEndGameRP,blueFoulCount,blueFoulPts,blueRP,tbaGameData,blueTechFoulCount,blueTOownership,blueTOpts,blueScaleBoost,blueScaleForce,blueTOscaleOwnershipSec,blueTOswitchBoost,blueTOswitchForce,blueTOswitchOwnershipSec,blueBoostPlayed,blueBoostTotal,blueForcePlayed,blueForceTotal,blueLevitatePlayed,blueLevitateTotal,blueVaultPts,redAdjustPoints,redAutoOwnership,redAutoPts,redAutoRanking,redAutoBot1,redAutoBot2,redAutoBot3,redAutoRunPoints,redAutoScaleOwnershipSec,redAutoSwitchAtZero,redAutoSwitchOwnershipSpec,redEndGamePoints,redEndGameBot1,redEndGameBot2,redEndGameBot3,redEndGameRP,redFoulCount,redFoulPts,redRP,tbaGameData,redTechFoulCount,redTOownership,redTOpts,redScaleBoost,redScaleForce,redTOscaleOwnershipSec,redTOswitchBoost,redTOswitchForce,redTOswitchOwnershipSec,redBoostPlayed,redBoostTotal,redForcePlayed,redForceTotal,redLevitatePlayed,redLevitateTotal,redVaultPts
46,2018cthar_qm46,571,7127,3146,236,3634,6812,375,35,1523137649,1523137502,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,40,Parking,Levitate,Parking,False,2,0,3,LLL,0,259,344,3,10,110,10,10,136,3,3,3,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,0,None,None,None,False,0,10,0,LLL,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0
47,2018cthar_qm47,7153,6895,1740,6346,190,3182,178,428,1523138452,1523138342,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,30,None,Climbing,None,False,0,50,0,RRR,2,78,118,0,9,10,0,0,68,0,0,2,2,0,0,10,0,16,31,False,AutoRun,AutoRun,AutoRun,15,8,False,0,40,Parking,Levitate,Parking,False,5,50,2,RRR,1,277,347,10,0,126,10,0,131,3,3,0,0,3,3,30
48,2018cthar_qm48,1973,2064,2836,3464,558,155,365,304,1523138926,1523138821,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Parking,Levitate,Climbing,False,1,5,3,LLL,0,237,327,0,0,105,9,4,123,1,1,1,1,3,3,25,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,65,Parking,Levitate,Climbing,False,1,5,1,LLL,0,162,272,0,10,16,10,10,136,3,3,3,3,3,3,45
49,2018cthar_qm49,3146,5686,2785,5129,839,3654,324,321,1523139242,1523139122,0,22,32,False,None,AutoRun,AutoRun,10,0,True,11,65,Climbing,Levitate,Parking,False,0,25,2,RRR,2,157,267,0,10,11,10,0,136,3,3,2,3,3,3,45,0,0,10,False,AutoRun,None,AutoRun,10,0,False,0,65,Levitate,Climbing,Parking,False,0,50,0,RRR,1,161,261,0,3,116,10,0,35,1,1,2,3,3,3,35
5,2018cthar_qm5,839,4987,230,1991,5746,1973,430,143,1523115956,1523115782,0,24,39,True,AutoRun,AutoRun,AutoRun,15,2,True,10,65,Climbing,Levitate,Parking,False,0,5,3,LRL,0,291,386,10,0,135,10,0,136,3,3,0,0,3,3,30,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,10,Parking,Parking,None,False,1,0,0,LRL,0,123,133,0,0,0,0,0,123,0,0,0,0,0,0,0
50,2018cthar_qm50,176,175,5746,177,190,195,293,417,1523139711,1523139482,0,30,45,True,AutoRun,AutoRun,AutoRun,15,5,True,10,40,Parking,Parking,Levitate,False,1,5,1,RRR,1,178,243,0,8,42,0,0,136,0,0,2,2,3,3,25,0,26,41,True,AutoRun,AutoRun,AutoRun,15,2,True,11,90,Climbing,Levitate,Climbing,True,1,30,4,RRR,0,211,346,10,0,89,3,10,109,3,3,1,3,3,3,45
51,2018cthar_qm51,999,1027,3634,2170,558,7153,205,416,1523140103,1523139961,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,5,Parking,None,None,False,0,75,0,LRL,1,90,115,0,10,11,0,10,79,0,1,3,3,0,0,20,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,35,None,Parking,Levitate,False,0,25,3,LRL,3,274,354,10,0,118,10,0,136,3,3,3,3,3,3,45
52,2018cthar_qm52,173,1973,5142,236,6346,230,313,356,1523140615,1523140502,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,35,Levitate,None,Parking,False,0,75,1,RLR,0,159,209,0,0,23,0,0,136,0,0,0,0,3,3,15,0,38,53,True,AutoRun,AutoRun,AutoRun,15,8,True,11,40,Parking,Levitate,Parking,False,0,0,3,RLR,3,238,303,0,0,92,10,10,136,1,1,1,1,3,3,25
53,2018cthar_qm53,2064,1740,7127,4987,181,2836,346,302,1523141059,1523140873,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,65,Parking,Climbing,Levitate,False,1,0,3,LRL,0,224,319,10,0,78,0,6,136,2,2,1,1,3,3,30,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Parking,Parking,Levitate,False,0,5,1,LRL,0,184,264,0,0,48,0,0,136,2,3,0,2,3,3,40
54,2018cthar_qm54,6811,6812,1085,1991,3182,2067,155,416,1523141654,1523141469,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,35,Levitate,None,Parking,False,4,75,0,LLL,1,10,65,0,0,0,0,9,10,0,0,1,1,3,3,20,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Parking,Climbing,Levitate,False,0,45,3,LLL,3,251,336,0,0,105,10,0,136,1,1,0,0,3,3,20
55,2018cthar_qm55,6895,6333,155,3464,571,5746,190,401,1523142062,1523141903,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,4,0,1,RRR,1,68,153,0,10,11,0,10,57,3,3,3,3,3,3,45,0,10,25,True,AutoRun,AutoRun,AutoRun,15,0,True,5,65,Parking,Climbing,Levitate,False,0,45,3,RRR,0,241,331,5,0,113,0,0,123,2,2,0,0,3,3,25
56,2018cthar_qm56,3634,195,2170,5129,1973,1740,474,169,1523142550,1523142362,0,42,57,True,AutoRun,AutoRun,AutoRun,15,10,True,11,90,Levitate,Climbing,Climbing,True,0,5,4,LRL,0,292,412,10,0,136,10,0,136,3,3,0,0,3,3,30,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,65,Parking,Levitate,Climbing,False,1,0,0,LRL,0,69,154,0,0,0,0,0,69,0,0,0,1,3,3,20
57,2018cthar_qm57,6811,6346,1991,175,999,5142,93,413,1523142960,1523142738,0,18,28,False,AutoRun,AutoRun,None,10,0,True,9,40,Parking,Levitate,Parking,False,0,0,0,RRR,0,10,65,0,0,0,0,0,10,0,0,0,0,3,3,15,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,0,0,3,RRR,0,270,380,10,0,114,10,0,136,3,3,0,3,3,3,45
58,2018cthar_qm58,177,236,3464,839,6895,1027,447,286,1523143290,1523143148,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,90,Climbing,Climbing,Levitate,True,1,35,4,LRL,0,255,385,2,0,107,10,0,136,3,3,0,2,3,3,40,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,65,Climbing,Parking,Levitate,False,7,5,0,LRL,0,156,266,0,10,16,10,10,130,1,3,3,3,3,3,45
59,2018cthar_qm59,5686,190,173,3182,1085,571,403,256,1523143679,1523143622,0,16,31,False,AutoRun,AutoRun,AutoRun,15,8,False,0,40,Levitate,Parking,Parking,False,1,10,2,LRL,0,277,362,10,10,129,10,10,128,3,3,3,3,3,3,45,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Levitate,Parking,False,2,5,1,LRL,0,138,218,0,0,2,0,0,136,0,0,0,0,3,3,15
6,2018cthar_qm6,1027,195,175,3654,2836,5686,354,215,1523116495,1523116441,0,22,32,False,None,AutoRun,AutoRun,10,0,True,11,30,None,None,Levitate,False,0,5,2,RRR,0,262,317,10,0,116,0,0,136,2,2,0,0,3,3,25,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,35,None,Climbing,Parking,False,1,0,1,RRR,0,119,184,0,10,11,0,10,108,2,2,3,3,0,1,30
60,2018cthar_qm60,3146,3654,6812,6333,176,2836,316,411,1523144208,1523144042,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,65,Climbing,Parking,Levitate,False,0,25,1,LRL,0,157,262,0,10,11,10,10,136,1,2,3,3,3,3,40,0,28,43,True,AutoRun,AutoRun,AutoRun,15,5,True,9,90,Levitate,Climbing,Climbing,True,0,0,4,LRL,1,263,368,0,0,127,0,0,136,0,0,0,0,3,3,15
7,2018cthar_qm7,1740,571,6333,2785,2170,7127,274,309,1523116929,1523116769,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,40,Parking,Parking,Levitate,False,1,55,0,RRR,1,149,204,0,0,32,0,0,117,0,0,0,0,3,3,15,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Levitate,Parking,Parking,False,1,30,3,RRR,2,157,242,0,10,11,10,0,136,3,3,2,3,3,3,45
8,2018cthar_qm8,3182,3464,230,999,5129,181,290,279,1523117320,1523117222,0,12,27,True,AutoRun,AutoRun,AutoRun,15,2,True,4,65,Levitate,Parking,Climbing,False,1,0,3,RLR,0,173,263,10,0,94,0,0,69,2,2,0,0,3,3,25,0,24,39,True,AutoRun,AutoRun,AutoRun,15,3,True,9,40,Parking,Levitate,Parking,False,0,5,1,RLR,0,150,235,0,8,14,0,8,136,2,3,3,3,3,3,45
9,2018cthar_qm9,2067,3146,1027,5746,2064,6811,388,173,1523117733,1523117563,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,40,Parking,Parking,Levitate,False,2,50,2,LLL,0,243,328,10,10,97,10,10,126,3,3,3,3,3,3,45,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,40,Levitate,Parking,Parking,False,0,10,1,LLL,2,55,140,0,10,15,0,10,40,3,3,3,3,3,3,45
61,2018cthar_qm61,2785,2064,4987,7153,7127,230,167,411,1523193786,1523194200,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,40,Parking,Parking,Levitate,False,0,0,1,RLR,0,68,138,0,5,6,0,5,62,0,0,3,3,3,3,30,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Levitate,Parking,Climbing,False,0,0,3,RLR,0,264,374,10,10,108,10,10,136,3,3,3,3,3,3,45
62,2018cthar_qm62,558,571,5129,839,2067,181,253,345,1523194236,1523194620,0,32,47,True,AutoRun,AutoRun,AutoRun,15,5,True,11,35,None,Parking,Levitate,False,1,5,1,RRR,0,136,201,0,0,23,0,0,113,0,3,0,0,3,3,30,0,16,26,False,AutoRun,None,AutoRun,10,0,True,8,65,Climbing,Levitate,Parking,False,1,5,2,RRR,0,214,314,0,8,102,0,8,112,1,1,3,3,3,3,35
63,2018cthar_qm63,5142,3182,236,2836,3146,2170,295,414,1523194786,1523194622,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,40,Levitate,Parking,Parking,False,2,55,1,RLR,0,154,209,0,0,36,0,0,118,0,0,0,0,3,3,15,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,90,Climbing,Climbing,Levitate,True,1,10,4,RLR,2,232,367,10,10,76,10,10,136,3,3,3,3,3,3,45
64,2018cthar_qm64,176,7127,190,2064,177,1991,393,217,1523195235,1523195042,0,30,45,True,AutoRun,AutoRun,AutoRun,15,6,True,9,35,Levitate,None,Parking,False,1,0,3,LLL,1,273,348,10,0,117,10,0,136,3,3,0,2,3,3,40,0,4,19,False,AutoRun,AutoRun,AutoRun,15,1,False,1,35,Parking,Levitate,None,False,0,30,0,LLL,0,103,168,0,10,11,10,0,82,1,1,2,2,3,3,30
65,2018cthar_qm65,3654,2067,1740,4987,3464,6811,410,321,1523195586,1523195524,0,28,43,True,AutoRun,AutoRun,AutoRun,15,4,True,10,65,Parking,Climbing,Levitate,False,0,0,3,LRL,4,282,367,0,0,136,10,0,136,1,1,0,0,3,3,20,0,10,25,True,AutoRun,AutoRun,AutoRun,15,0,True,5,40,Parking,Parking,Levitate,False,0,100,1,LRL,0,136,196,0,0,0,0,10,136,0,0,1,1,3,3,20
66,2018cthar_qm66,1973,230,175,155,5686,7153,516,270,1523196081,1523195947,0,24,39,True,AutoRun,AutoRun,AutoRun,15,2,True,10,35,Levitate,None,Parking,False,0,135,3,LRL,0,277,342,10,0,127,10,0,130,3,3,0,0,3,3,30,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,35,Parking,None,Levitate,False,2,0,1,LRL,5,157,237,0,10,11,10,10,136,3,3,3,3,3,3,45
67,2018cthar_qm67,195,999,6812,3634,2785,173,470,117,1523196425,1523196302,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,90,Climbing,Climbing,Levitate,True,0,25,4,LLL,0,283,408,10,0,127,10,10,136,3,3,1,1,3,3,35,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,30,Levitate,None,None,False,5,0,1,LLL,0,45,90,0,0,0,0,0,45,0,0,0,0,3,3,15
68,2018cthar_qm68,6333,5746,6346,1085,1027,558,357,337,1523196926,1523196784,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,35,None,Parking,Levitate,False,3,25,3,LRL,2,249,309,9,0,104,0,0,136,2,2,0,0,3,3,25,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,35,None,Parking,Levitate,False,0,65,1,LRL,1,157,237,0,10,11,10,10,136,3,3,3,3,3,3,45
69,2018cthar_qm69,181,1740,5142,2067,6895,1973,471,160,1523197265,1523197086,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,65,Climbing,Parking,Levitate,False,1,105,2,LRL,0,256,351,10,0,120,0,0,126,2,2,0,1,3,3,30,0,2,17,True,AutoRun,AutoRun,AutoRun,15,0,True,1,40,Parking,Parking,Levitate,False,1,5,1,LRL,4,83,138,0,0,0,0,0,83,0,0,0,0,3,3,15
70,2018cthar_qm70,6811,155,839,999,2836,236,252,446,1523197702,1523197513,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Levitate,Climbing,Parking,False,1,85,1,RLR,0,32,132,0,10,11,0,10,21,1,1,3,3,3,3,35,0,34,49,True,AutoRun,AutoRun,AutoRun,15,8,True,9,65,Levitate,Climbing,Parking,False,2,5,3,RLR,3,282,392,10,0,126,10,0,136,3,3,0,3,3,3,45
71,2018cthar_qm71,5746,2785,7153,1085,5129,1991,221,396,1523198120,1523197982,0,10,25,True,AutoRun,AutoRun,AutoRun,15,0,True,5,35,Parking,Levitate,None,False,0,5,1,LRL,1,136,191,0,0,0,0,0,136,0,1,0,0,3,3,20,0,12,22,False,None,AutoRun,AutoRun,10,6,False,0,35,None,Levitate,Parking,False,1,25,2,LRL,0,274,349,10,6,136,0,6,128,2,2,3,3,3,3,40
72,2018cthar_qm72,2064,3182,6333,3634,3654,6346,229,341,1523198674,1523198462,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,35,None,Parking,Levitate,False,1,0,0,RRR,1,134,214,0,10,18,10,10,106,3,3,3,3,3,3,45,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Parking,Parking,Levitate,False,0,30,3,RRR,0,213,278,5,0,72,0,0,136,2,2,0,0,3,3,25
73,2018cthar_qm73,176,6812,4987,181,1027,571,211,437,1523199117,1523198942,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,0,None,None,None,False,1,75,1,LRL,0,89,99,10,0,16,0,0,63,2,2,0,0,0,0,10,0,34,49,True,AutoRun,AutoRun,AutoRun,15,8,True,9,65,Climbing,Parking,Levitate,False,0,5,3,LRL,3,273,383,7,10,120,10,10,136,3,3,3,3,3,3,45
74,2018cthar_qm74,7127,195,558,5686,2170,6895,468,225,1523199631,1523199542,0,40,55,True,AutoRun,AutoRun,AutoRun,15,10,True,10,90,Levitate,Climbing,Climbing,True,0,25,4,LLL,0,268,388,10,0,127,10,0,121,3,3,0,0,3,3,30,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,0,0,1,LLL,1,123,188,0,10,11,0,0,112,0,0,2,2,3,3,25
75,2018cthar_qm75,175,190,3464,230,173,3146,370,376,1523200041,1523199848,0,30,45,True,AutoRun,AutoRun,AutoRun,15,8,True,7,90,Climbing,Levitate,Climbing,True,0,5,2,LRL,0,190,320,0,9,44,10,9,136,1,2,3,3,3,3,40,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Parking,Levitate,Climbing,False,1,0,3,LRL,0,234,339,0,10,88,10,10,136,1,2,3,3,3,3,40
76,2018cthar_qm76,3634,1973,1085,177,6811,571,137,375,1523200610,1523200382,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,40,Levitate,Parking,Parking,False,0,5,0,LRL,1,62,117,0,0,0,0,0,62,0,0,0,0,3,3,15,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Levitate,Parking,False,1,25,3,LRL,0,260,315,0,0,124,0,0,136,0,0,0,0,3,3,15
77,2018cthar_qm77,839,2170,5746,6812,7153,5142,430,63,1523201077,1523200922,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Climbing,Levitate,Parking,False,2,10,3,RLR,1,283,383,10,0,127,10,0,136,3,3,0,1,3,3,35,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,0,None,None,None,False,2,35,0,RLR,0,18,18,0,0,0,0,0,18,0,0,0,0,0,0,0
73,2018cthar_qm73,176,6812,4987,181,1027,571,211,437,1523199117,1523198942,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,0,None,None,None,False,1,75,1,LRL,0,89,99,10,0,16,0,0,63,2,2,0,0,0,0,10,0,34,49,True,AutoRun,AutoRun,AutoRun,15,8,True,9,65,Climbing,Parking,Levitate,False,0,5,3,LRL,3,273,383,7,10,120,10,10,136,3,3,3,3,3,3,45
74,2018cthar_qm74,7127,195,558,5686,2170,6895,468,225,1523199631,1523199542,0,40,55,True,AutoRun,AutoRun,AutoRun,15,10,True,10,90,Levitate,Climbing,Climbing,True,0,25,4,LLL,0,268,388,10,0,127,10,0,121,3,3,0,0,3,3,30,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Levitate,Parking,False,0,0,1,LLL,1,123,188,0,10,11,0,0,112,0,0,2,2,3,3,25
75,2018cthar_qm75,175,190,3464,230,173,3146,370,376,1523200041,1523199848,0,30,45,True,AutoRun,AutoRun,AutoRun,15,8,True,7,90,Climbing,Levitate,Climbing,True,0,5,2,LRL,0,190,320,0,9,44,10,9,136,1,2,3,3,3,3,40,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Parking,Levitate,Climbing,False,1,0,3,LRL,0,234,339,0,10,88,10,10,136,1,2,3,3,3,3,40
76,2018cthar_qm76,3634,1973,1085,177,6811,571,137,375,1523200610,1523200382,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,40,Levitate,Parking,Parking,False,0,5,0,LRL,1,62,117,0,0,0,0,0,62,0,0,0,0,3,3,15,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Levitate,Parking,False,1,25,3,LRL,0,260,315,0,0,124,0,0,136,0,0,0,0,3,3,15
77,2018cthar_qm77,839,2170,5746,6812,7153,5142,430,63,1523201077,1523200922,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Climbing,Levitate,Parking,False,2,10,3,RLR,1,283,383,10,0,127,10,0,136,3,3,0,1,3,3,35,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,0,None,None,None,False,2,35,0,RLR,0,18,18,0,0,0,0,0,18,0,0,0,0,0,0,0
78,2018cthar_qm78,6333,3654,558,6895,230,190,226,377,1523201521,1523201402,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Levitate,Parking,Parking,False,0,0,1,RLR,0,136,191,0,0,0,0,0,136,0,0,0,0,3,3,15,0,30,45,True,AutoRun,AutoRun,AutoRun,15,4,True,11,60,None,Climbing,Levitate,False,0,0,3,RLR,0,257,332,0,0,136,0,0,121,0,0,0,0,3,3,15
79,2018cthar_qm79,7127,5686,4987,176,999,3464,192,297,1523202012,1523201882,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,35,Levitate,None,Parking,False,0,0,1,LLL,0,96,161,0,0,0,0,0,96,3,3,0,0,3,3,30,0,32,47,True,AutoRun,AutoRun,AutoRun,15,10,True,6,5,None,None,Parking,False,0,0,3,LLL,0,240,250,0,0,136,0,0,104,1,1,0,0,0,0,5
80,2018cthar_qm80,2836,2785,2067,173,177,3182,291,476,1523202455,1523202302,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,90,Climbing,Levitate,Climbing,True,0,25,2,RRR,2,128,233,0,0,0,0,0,128,0,0,0,0,3,3,15,0,18,28,False,None,AutoRun,AutoRun,10,0,True,9,90,Levitate,Climbing,Climbing,True,0,50,3,RRR,1,268,398,10,2,122,0,2,136,2,2,3,3,3,3,40
